stim_duration
886.0
1655.0
1640.0
1437.0
1879.0
2059.0
1209.0
1051.0
598.0
842.0
1825.0
2079.0
1695.0
1487.0
2258.0
1839.0
1353.0
1395.0
1758.0
2038.0
1042.0
1092.0
2087.0
2014.0
1177.0
1827.0
1196.0
1043.0
1439.0
1543.0
1783.0
1436.0
1869.0
2103.0
1053.0
1620.0
1397.0
1574.0
1373.0
1336.0
2248.0
1886.0
2074.0
1572.0
2535.0
1468.0
1450.0
3193.0
4000.0
2002.0
1365.0
3475.0
1443.0
1946.0
2029.0
1252.0
1446.0
1390.0
1107.0
1732.0
3021.0
1971.0
1947.0
1993.0
2634.0
2619.0
