"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","mouse_click","stim_duration","exp_stage","stim","coded_response","trial_num","reference","stim_rating","reference_rating","responses","credit_var"
"<div class = centerbox><p class = ""center-block-text"">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>","1002","13","1002","0","instruction","poldrack-text","0","1004","0.0-0.0-0.0","dietary_decision","true","0","","","","","","","","","","","",""
"","24623","","","","instruction","poldrack-instructions","1","25627","0.0-0.0-1.0","dietary_decision","true","0","[{""page_index"":0,""viewing_time"":24622}]","","","","","","","","","","",""
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the tastiness of each food item without regard for its healthiness. Press <strong>enter</strong> to begin.</p></div>","6867","13","6867","500","start_taste","poldrack-text","2","33496","0.0-1.0","dietary_decision","true","0","","","","","","","","","","","",""
"","1620","","1620","500","stim","single-stim-button","3","35630","0.0-2.0","dietary_decision","true","0","","Good","1620","taste_rating","FlamingCheetos","1","0","","","","",""
"","1639","","1639","500","stim","single-stim-button","4","37781","0.0-3.0","dietary_decision","true","0","","Good","1639","taste_rating","KitKat","1","1","","","","",""
"","1154","","1154","500","stim","single-stim-button","5","39444","0.0-4.0","dietary_decision","true","0","","Good","1154","taste_rating","wwmuffin","1","2","","","","",""
"","1773","","1773","500","stim","single-stim-button","6","41730","0.0-5.0","dietary_decision","true","0","","Good","1773","taste_rating","Lindt","1","3","","","","",""
"","2858","","2858","500","stim","single-stim-button","7","45097","0.0-6.0","dietary_decision","true","0","","Neutral","2858","taste_rating","banana","0","4","","","","",""
"","1616","","1616","500","stim","single-stim-button","8","47223","0.0-7.0","dietary_decision","true","0","","Very_Good","1616","taste_rating","uToberlorone","2","5","","","","",""
"","2090","","2090","500","stim","single-stim-button","9","49815","0.0-8.0","dietary_decision","true","0","","Good","2090","taste_rating","100Grand","1","6","","","","",""
"","2041","","2041","500","stim","single-stim-button","10","52364","0.0-9.0","dietary_decision","true","0","","Good","2041","taste_rating","Doritosranch","1","7","","","","",""
"","1228","","1228","500","stim","single-stim-button","11","54102","0.0-10.0","dietary_decision","true","0","","Good","1228","taste_rating","HoHo","1","8","","","","",""
"","1740","","1740","500","stim","single-stim-button","12","56357","0.0-11.0","dietary_decision","true","0","","Good","1740","taste_rating","ChipsAhoy","1","9","","","","",""
