"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","mouse_click","stim_duration","exp_stage","stim","coded_response","trial_num","reference","stim_rating","reference_rating","responses","credit_var"
"<div class = centerbox><p class = ""center-block-text"">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>","3447","13","3447","0","instruction","poldrack-text","0","3447","0.0-0.0-0.0","dietary_decision","true","1","","","","","","","","","","","",""
"","17788","","","","instruction","poldrack-instructions","1","21236","0.0-0.0-1.0","dietary_decision","false","0","[{""page_index"":0,""viewing_time"":17788}]","","","","","","","","","","",""
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the tastiness of each food item without regard for its healthiness. Press <strong>enter</strong> to begin.</p></div>","4481","13","4481","500","start_taste","poldrack-text","2","26723","0.0-1.0","dietary_decision","false","0","","","","","","","","","","","",""
"","-1","","4000","500","stim","single-stim-button","3","31242","0.0-2.0","dietary_decision","false","0","","-1","4000","taste_rating","sbcrackers","NaN","0","","","","",""
"","2861","","2861","500","stim","single-stim-button","4","34612","0.0-3.0","dietary_decision","false","0","","Good","2861","taste_rating","Reeses","1","1","","","","",""
"","3250","","3250","500","stim","single-stim-button","5","38366","0.0-4.0","dietary_decision","false","0","","Good","3250","taste_rating","ChipsAhoy","1","2","","","","",""
"","3709","","3709","500","stim","single-stim-button","6","42586","0.0-5.0","dietary_decision","false","0","","Good","3709","taste_rating","raisins","1","3","","","","",""
"","3930","","3930","500","stim","single-stim-button","7","47021","0.0-6.0","dietary_decision","false","0","","Good","3930","taste_rating","sbdietbar","1","4","","","","",""
"","1805","","1805","500","stim","single-stim-button","8","49336","0.0-7.0","dietary_decision","false","0","","Very_Good","1805","taste_rating","orangejello","2","5","","","","",""
"","2755","","2755","500","stim","single-stim-button","9","52594","0.0-8.0","dietary_decision","false","0","","Neutral","2755","taste_rating","wwmuffin","0","6","","","","",""
"","1730","","1730","500","stim","single-stim-button","10","54825","0.0-9.0","dietary_decision","false","0","","Neutral","1730","taste_rating","frozenyogart","0","7","","","","",""
"","-1","","4000","500","stim","single-stim-button","11","59351","0.0-10.0","dietary_decision","false","0","","-1","4000","taste_rating","specialKbar","NaN","8","","","","",""
"","2818","","2818","500","stim","single-stim-button","12","62678","0.0-11.0","dietary_decision","false","0","","Neutral","2818","taste_rating","cranberries","0","9","","","","",""
"","-1","","4000","500","stim","single-stim-button","13","67199","0.0-12.0","dietary_decision","false","0","","-1","4000","taste_rating","ffraspsorbet","NaN","10","","","","",""
"","2082","","2082","500","stim","single-stim-button","14","69796","0.0-13.0","dietary_decision","false","0","","Very_Good","2082","taste_rating","uToberlorone","2","11","","","","",""
"","2906","","2906","500","stim","single-stim-button","15","73206","0.0-14.0","dietary_decision","false","0","","Good","2906","taste_rating","butterfinger","1","12","","","","",""
"","1750","","1750","500","stim","single-stim-button","16","75461","0.0-15.0","dietary_decision","false","0","","Very_Good","1750","taste_rating","cherryicecream","2","13","","","","",""
"","3108","","3108","500","stim","single-stim-button","17","79073","0.0-16.0","dietary_decision","false","0","","Good","3108","taste_rating","wwbrownie","1","14","","","","",""
"","1801","","1801","500","stim","single-stim-button","18","81387","0.0-17.0","dietary_decision","false","0","","Very_Good","1801","taste_rating","orange","2","15","","","","",""
"","2283","","2283","500","stim","single-stim-button","19","84173","0.0-18.0","dietary_decision","false","0","","Bad","2283","taste_rating","mixedyogart","-1","16","","","","",""
"","2706","","2706","500","stim","single-stim-button","20","87384","0.0-19.0","dietary_decision","false","0","","Neutral","2706","taste_rating","strussel","0","17","","","","",""
"","2833","","2833","500","stim","single-stim-button","21","90729","0.0-20.0","dietary_decision","false","0","","Good","2833","taste_rating","cellery","1","18","","","","",""
"","2381","","2381","500","stim","single-stim-button","22","93613","0.0-21.0","dietary_decision","false","0","","Very_Good","2381","taste_rating","icecreamsandwich","2","19","","","","",""
"","1795","","1795","500","stim","single-stim-button","23","95921","0.0-22.0","dietary_decision","false","0","","Very_Good","1795","taste_rating","redgrapes","2","20","","","","",""
"","828","","828","500","stim","single-stim-button","24","97259","0.0-23.0","dietary_decision","false","0","","Very_Good","828","taste_rating","whitegrapes","2","21","","","","",""
"","3767","","3767","500","stim","single-stim-button","25","101538","0.0-24.0","dietary_decision","false","0","","Bad","3767","taste_rating","FlamingCheetos","-1","22","","","","",""
"","1885","","1885","500","stim","single-stim-button","26","103932","0.0-25.0","dietary_decision","false","0","","Very_Good","1885","taste_rating","Lindt","2","23","","","","",""
"","1784","","1784","500","stim","single-stim-button","27","106220","0.0-26.0","dietary_decision","false","0","","Bad","1784","taste_rating","blueberryyogart","-1","24","","","","",""
"","1797","","1797","500","stim","single-stim-button","28","108521","0.0-27.0","dietary_decision","false","0","","Good","1797","taste_rating","FamousAmos","1","25","","","","",""
"","2102","","2102","500","stim","single-stim-button","29","111127","0.0-28.0","dietary_decision","false","0","","Good","2102","taste_rating","MrsFields","1","26","","","","",""
"","1259","","1259","500","stim","single-stim-button","30","112891","0.0-29.0","dietary_decision","false","0","","Good","1259","taste_rating","carrots","1","27","","","","",""
"","1683","","1683","500","stim","single-stim-button","31","115079","0.0-30.0","dietary_decision","false","0","","Very_Good","1683","taste_rating","grannysmith","2","28","","","","",""
"","2219","","2219","500","stim","single-stim-button","32","117802","0.0-31.0","dietary_decision","false","0","","Very_Bad","2219","taste_rating","Oreos","-2","29","","","","",""
"","1866","","1866","500","stim","single-stim-button","33","120180","0.0-32.0","dietary_decision","false","0","","Good","1866","taste_rating","Doritosranch","1","30","","","","",""
"","2084","","2084","500","stim","single-stim-button","34","122768","0.0-33.0","dietary_decision","false","0","","Bad","2084","taste_rating","HoHo","-1","31","","","","",""
"","1852","","1852","500","stim","single-stim-button","35","125131","0.0-34.0","dietary_decision","false","0","","Neutral","1852","taste_rating","laysclassic","0","32","","","","",""
"","2442","","2442","500","stim","single-stim-button","36","128077","0.0-35.0","dietary_decision","false","0","","Neutral","2442","taste_rating","100Grand","0","33","","","","",""
"","3167","","3167","500","stim","single-stim-button","37","131753","0.0-36.0","dietary_decision","false","0","","Neutral","3167","taste_rating","keeblerfudgestripes","0","34","","","","",""
"","1417","","1417","500","stim","single-stim-button","38","133674","0.0-37.0","dietary_decision","false","0","","Good","1417","taste_rating","keeblerrainbow","1","35","","","","",""
"","2531","","2531","500","stim","single-stim-button","39","136711","0.0-38.0","dietary_decision","false","0","","Neutral","2531","taste_rating","cookiencream","0","36","","","","",""
"","1601","","1601","500","stim","single-stim-button","40","138815","0.0-39.0","dietary_decision","false","0","","Very_Good","1601","taste_rating","KitKat","2","37","","","","",""
"","3132","","3132","500","stim","single-stim-button","41","142459","0.0-40.0","dietary_decision","false","0","","Very_Good","3132","taste_rating","brocollincauliflower","2","38","","","","",""
"","1010","","1010","500","stim","single-stim-button","42","143972","0.0-41.0","dietary_decision","false","0","","Very_Good","1010","taste_rating","reddelicious","2","39","","","","",""
"","3313","","3313","500","stim","single-stim-button","43","147798","0.0-42.0","dietary_decision","false","0","","Good","3313","taste_rating","ruffles","1","40","","","","",""
"","1876","","1876","500","stim","single-stim-button","44","150178","0.0-43.0","dietary_decision","false","0","","Very_Good","1876","taste_rating","Ghiradelli","2","41","","","","",""
"","2983","","2983","500","stim","single-stim-button","45","153670","0.0-44.0","dietary_decision","false","0","","Neutral","2983","taste_rating","cookies","0","42","","","","",""
"","3639","","3639","500","stim","single-stim-button","46","157821","0.0-45.0","dietary_decision","false","0","","Good","3639","taste_rating","slimfastC","1","43","","","","",""
"","1326","","1326","500","stim","single-stim-button","47","159651","0.0-46.0","dietary_decision","false","0","","Very_Good","1326","taste_rating","banana","2","44","","","","",""
"","1503","","1503","500","stim","single-stim-button","48","161656","0.0-47.0","dietary_decision","false","0","","Very_Good","1503","taste_rating","strawberries","2","45","","","","",""
