stim_duration,category
2612.0,non-self-control
989.0,non-self-control
2019.0,non-self-control
674.0,non-self-control
1082.0,non-self-control
1549.0,non-self-control
1739.0,non-self-control
1815.0,non-self-control
1385.0,non-self-control
2446.0,non-self-control
1727.0,non-self-control
1733.0,non-self-control
3457.0,non-self-control
1744.0,non-self-control
3248.0,non-self-control
2055.0,non-self-control
2588.0,non-self-control
2210.0,non-self-control
2091.0,non-self-control
2267.0,non-self-control
2025.0,non-self-control
1397.0,non-self-control
2083.0,non-self-control
1913.0,non-self-control
2114.0,non-self-control
1630.0,non-self-control
1711.0,non-self-control
1721.0,non-self-control
1707.0,non-self-control
1508.0,non-self-control
2957.0,non-self-control
1860.0,non-self-control
1494.0,non-self-control
1429.0,non-self-control
1478.0,non-self-control
1489.0,non-self-control
1842.0,non-self-control
1768.0,non-self-control
1598.0,non-self-control
1697.0,non-self-control
2983.0,non-self-control
1640.0,non-self-control
2038.0,non-self-control
2031.0,non-self-control
2038.0,non-self-control
1890.0,non-self-control
1740.0,non-self-control
1744.0,non-self-control
886.0,non-self-control
1737.0,non-self-control
1370.0,non-self-control
1511.0,non-self-control
1404.0,non-self-control
1009.0,non-self-control
1166.0,non-self-control
1695.0,non-self-control
1120.0,non-self-control
1591.0,non-self-control
956.0,non-self-control
1163.0,non-self-control
1038.0,non-self-control
1353.0,non-self-control
1684.0,non-self-control
1274.0,non-self-control
1488.0,non-self-control
1152.0,non-self-control
1531.0,non-self-control
1611.0,non-self-control
1120.0,non-self-control
1352.0,non-self-control
1350.0,non-self-control
1726.0,non-self-control
1400.0,non-self-control
1758.0,non-self-control
1935.0,non-self-control
1613.0,non-self-control
1184.0,non-self-control
1031.0,non-self-control
1401.0,non-self-control
1648.0,non-self-control
1938.0,non-self-control
2074.0,non-self-control
1706.0,non-self-control
3475.0,non-self-control
1443.0,non-self-control
849.0,non-self-control
1779.0,non-self-control
1436.0,non-self-control
936.0,non-self-control
1971.0,non-self-control
1194.0,non-self-control
2545.0,non-self-control
1232.0,non-self-control
1350.0,non-self-control
1768.0,non-self-control
1614.0,non-self-control
859.0,non-self-control
1558.0,non-self-control
3338.0,non-self-control
2523.0,non-self-control
1673.0,non-self-control
2617.0,non-self-control
1812.0,non-self-control
2704.0,non-self-control
2809.0,non-self-control
2994.0,non-self-control
1921.0,non-self-control
2460.0,non-self-control
2675.0,non-self-control
1576.0,non-self-control
2397.0,non-self-control
637.0,non-self-control
1439.0,non-self-control
789.0,non-self-control
1331.0,non-self-control
1118.0,non-self-control
902.0,non-self-control
845.0,non-self-control
1077.0,non-self-control
995.0,non-self-control
927.0,non-self-control
2183.0,non-self-control
1514.0,non-self-control
2135.0,non-self-control
1483.0,non-self-control
1270.0,non-self-control
3614.0,non-self-control
2619.0,non-self-control
1320.0,non-self-control
1989.0,non-self-control
2084.0,non-self-control
1470.0,non-self-control
806.0,non-self-control
1693.0,non-self-control
2013.0,non-self-control
1714.0,non-self-control
2413.0,non-self-control
1528.0,non-self-control
1672.0,non-self-control
1087.0,non-self-control
972.0,non-self-control
819.0,non-self-control
705.0,non-self-control
1182.0,non-self-control
1346.0,non-self-control
2177.0,non-self-control
577.0,self-control
379.0,self-control
252.0,self-control
400.0,self-control
827.0,self-control
153.0,self-control
286.0,self-control
645.0,self-control
135.0,self-control
136.0,self-control
273.0,self-control
310.0,self-control
169.0,self-control
89.0,self-control
346.0,self-control
630.0,self-control
328.0,self-control
266.0,self-control
221.0,self-control
574.0,self-control
162.0,self-control
1068.0,self-control
139.0,self-control
2274.0,self-control
1929.0,self-control
1813.0,self-control
1243.0,self-control
1583.0,self-control
1324.0,self-control
1835.0,self-control
1440.0,self-control
1222.0,self-control
1469.0,self-control
2142.0,self-control
1185.0,self-control
1904.0,self-control
1563.0,self-control
1368.0,self-control
1925.0,self-control
1390.0,self-control
2537.0,self-control
1388.0,self-control
1703.0,self-control
876.0,self-control
577.0,self-control
622.0,self-control
554.0,self-control
1129.0,self-control
1852.0,self-control
1360.0,self-control
2050.0,self-control
1398.0,self-control
757.0,self-control
792.0,self-control
2897.0,self-control
1016.0,self-control
554.0,self-control
405.0,self-control
376.0,self-control
349.0,self-control
355.0,self-control
1067.0,self-control
1500.0,self-control
1128.0,self-control
866.0,self-control
327.0,self-control
875.0,self-control
1037.0,self-control
1194.0,self-control
4011.0,self-control
2946.0,self-control
1111.0,self-control
2009.0,self-control
1281.0,self-control
1159.0,self-control
1320.0,self-control
1214.0,self-control
1037.0,self-control
1327.0,self-control
2403.0,self-control
1116.0,self-control
