stim_duration,category
1449.0,non-self-control
1354.0,non-self-control
1290.0,non-self-control
812.0,non-self-control
2325.0,non-self-control
1153.0,non-self-control
1061.0,non-self-control
953.0,non-self-control
1807.0,non-self-control
1643.0,non-self-control
1729.0,non-self-control
1235.0,non-self-control
2633.0,non-self-control
2706.0,non-self-control
3243.0,non-self-control
1825.0,non-self-control
2518.0,non-self-control
982.0,non-self-control
1827.0,non-self-control
1980.0,non-self-control
1713.0,non-self-control
1076.0,non-self-control
1203.0,non-self-control
1206.0,non-self-control
2083.0,non-self-control
1683.0,non-self-control
1694.0,non-self-control
916.0,non-self-control
2108.0,non-self-control
2748.0,non-self-control
1730.0,non-self-control
2114.0,non-self-control
2562.0,non-self-control
2094.0,non-self-control
1254.0,non-self-control
1113.0,non-self-control
1315.0,non-self-control
3164.0,non-self-control
1449.0,non-self-control
1841.0,non-self-control
1558.0,non-self-control
2872.0,non-self-control
1814.0,non-self-control
1785.0,non-self-control
3933.0,non-self-control
2813.0,non-self-control
4000.0,non-self-control
1565.0,non-self-control
1946.0,non-self-control
1767.0,non-self-control
3275.0,non-self-control
1659.0,non-self-control
2945.0,non-self-control
2555.0,non-self-control
1800.0,non-self-control
1499.0,non-self-control
2054.0,non-self-control
1608.0,non-self-control
1674.0,non-self-control
1651.0,non-self-control
3155.0,non-self-control
1614.0,non-self-control
2489.0,non-self-control
2339.0,non-self-control
1696.0,non-self-control
1947.0,non-self-control
1919.0,non-self-control
1394.0,non-self-control
2482.0,non-self-control
1540.0,non-self-control
1553.0,non-self-control
1470.0,non-self-control
1913.0,non-self-control
1135.0,non-self-control
1314.0,non-self-control
1806.0,non-self-control
1789.0,non-self-control
1870.0,non-self-control
3431.0,non-self-control
3001.0,non-self-control
2020.0,non-self-control
1583.0,non-self-control
1282.0,non-self-control
2185.0,non-self-control
849.0,non-self-control
1296.0,non-self-control
1732.0,non-self-control
1462.0,non-self-control
2088.0,non-self-control
1798.0,non-self-control
1534.0,non-self-control
1207.0,non-self-control
648.0,non-self-control
510.0,non-self-control
1637.0,non-self-control
1098.0,non-self-control
220.0,non-self-control
215.0,non-self-control
143.0,non-self-control
145.0,non-self-control
300.0,non-self-control
175.0,non-self-control
1272.0,non-self-control
131.0,non-self-control
546.0,non-self-control
179.0,non-self-control
2345.0,non-self-control
1492.0,non-self-control
738.0,non-self-control
2318.0,non-self-control
3870.0,non-self-control
3500.0,non-self-control
1558.0,non-self-control
1641.0,non-self-control
2096.0,non-self-control
2891.0,non-self-control
2687.0,non-self-control
2209.0,non-self-control
3474.0,non-self-control
2510.0,non-self-control
2292.0,non-self-control
3321.0,non-self-control
2393.0,non-self-control
2306.0,non-self-control
3318.0,non-self-control
3095.0,non-self-control
1684.0,non-self-control
2582.0,non-self-control
2005.0,non-self-control
3270.0,non-self-control
2939.0,non-self-control
2460.0,non-self-control
2619.0,non-self-control
1795.0,non-self-control
1580.0,non-self-control
3047.0,non-self-control
1664.0,non-self-control
1118.0,non-self-control
1132.0,non-self-control
3851.0,non-self-control
2514.0,non-self-control
1419.0,non-self-control
2353.0,non-self-control
1391.0,non-self-control
1232.0,non-self-control
2043.0,non-self-control
1991.0,non-self-control
3468.0,non-self-control
1742.0,non-self-control
2422.0,non-self-control
1318.0,non-self-control
1656.0,non-self-control
1204.0,non-self-control
1115.0,non-self-control
1334.0,non-self-control
1112.0,non-self-control
1946.0,non-self-control
1273.0,non-self-control
1400.0,non-self-control
1518.0,non-self-control
1378.0,non-self-control
1507.0,non-self-control
1203.0,non-self-control
1182.0,non-self-control
1559.0,non-self-control
1885.0,non-self-control
2199.0,non-self-control
2527.0,non-self-control
1421.0,non-self-control
4000.0,non-self-control
2084.0,non-self-control
2463.0,non-self-control
1291.0,non-self-control
1626.0,non-self-control
1997.0,non-self-control
1592.0,non-self-control
2206.0,non-self-control
2416.0,non-self-control
1824.0,non-self-control
1954.0,non-self-control
1217.0,non-self-control
2602.0,non-self-control
2445.0,non-self-control
1511.0,non-self-control
1680.0,non-self-control
2782.0,non-self-control
3047.0,non-self-control
1968.0,self-control
379.0,self-control
291.0,self-control
385.0,self-control
756.0,self-control
219.0,self-control
240.0,self-control
163.0,self-control
138.0,self-control
142.0,self-control
145.0,self-control
562.0,self-control
160.0,self-control
166.0,self-control
144.0,self-control
718.0,self-control
316.0,self-control
1978.0,self-control
2910.0,self-control
1243.0,self-control
1185.0,self-control
1904.0,self-control
1925.0,self-control
1614.0,self-control
1364.0,self-control
277.0,self-control
3287.0,self-control
4000.0,self-control
1524.0,self-control
1556.0,self-control
3596.0,self-control
2197.0,self-control
1587.0,self-control
2071.0,self-control
2760.0,self-control
3059.0,self-control
4000.0,self-control
1838.0,self-control
2758.0,self-control
3019.0,self-control
3132.0,self-control
