text,rt,key_press,block_duration,timing_post_trial,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,exp_id,full_screen,focus_shifts,view_history,mouse_click,stim_duration,exp_stage,stim,coded_response,trial_num,reference,stim_rating,reference_rating,responses,credit_var
"<div class = centerbox><p class = ""center-block-text"">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>",4805.0,13.0,4805.0,0.0,instruction,poldrack-text,0,4806,0.0-0.0-0.0,dietary_decision,True,0,,,,,,,,,,,,
,10705.0,,,,instruction,poldrack-instructions,1,15511,0.0-0.0-1.0,dietary_decision,True,0,"[{""page_index"":0,""viewing_time"":10705}]",,,,,,,,,,,
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the tastiness of each food item without regard for its healthiness. Press <strong>enter</strong> to begin.</p></div>",7000.0,13.0,7000.0,500.0,start_taste,poldrack-text,2,23516,0.0-1.0,dietary_decision,True,0,,,,,,,,,,,,
,3122.0,,3122.0,500.0,stim,single-stim-button,3,27140,0.0-2.0,dietary_decision,True,0,,Neutral,3122.0,taste_rating,FlamingCheetos,0.0,0.0,,,,,
,2178.0,,2178.0,500.0,stim,single-stim-button,4,29828,0.0-3.0,dietary_decision,True,0,,Good,2178.0,taste_rating,ffraspsorbet,1.0,1.0,,,,,
,3017.0,,3017.0,500.0,stim,single-stim-button,5,33358,0.0-4.0,dietary_decision,True,0,,Neutral,3017.0,taste_rating,raisins,0.0,2.0,,,,,
,3383.0,,3383.0,500.0,stim,single-stim-button,6,37242,0.0-5.0,dietary_decision,True,0,,Good,3383.0,taste_rating,Reeses,1.0,3.0,,,,,
,2121.0,,2121.0,500.0,stim,single-stim-button,7,39865,0.0-6.0,dietary_decision,True,0,,Neutral,2121.0,taste_rating,banana,0.0,4.0,,,,,
,3456.0,,3456.0,500.0,stim,single-stim-button,8,43822,0.0-7.0,dietary_decision,True,0,,Bad,3456.0,taste_rating,sbcrackers,-1.0,5.0,,,,,
,3265.0,,3265.0,500.0,stim,single-stim-button,9,47588,0.0-8.0,dietary_decision,True,0,,Bad,3265.0,taste_rating,mixedyogart,-1.0,6.0,,,,,
,3172.0,,3172.0,500.0,stim,single-stim-button,10,51267,0.0-9.0,dietary_decision,True,0,,Bad,3172.0,taste_rating,wheatcrisps,-1.0,7.0,,,,,
,1577.0,,1577.0,500.0,stim,single-stim-button,11,53346,0.0-10.0,dietary_decision,True,0,,Very_Good,1577.0,taste_rating,Oreos,2.0,8.0,,,,,
,2277.0,,2277.0,500.0,stim,single-stim-button,12,56124,0.0-11.0,dietary_decision,True,0,,Good,2277.0,taste_rating,uTwix,1.0,9.0,,,,,
,2900.0,,2900.0,500.0,stim,single-stim-button,13,59525,0.0-12.0,dietary_decision,True,0,,Good,2900.0,taste_rating,Doritosranch,1.0,10.0,,,,,
,2399.0,,2399.0,500.0,stim,single-stim-button,14,62426,0.0-13.0,dietary_decision,True,0,,Very_Good,2399.0,taste_rating,cookiencream,2.0,11.0,,,,,
,2602.0,,2602.0,500.0,stim,single-stim-button,15,65534,0.0-14.0,dietary_decision,True,0,,Neutral,2602.0,taste_rating,blueberryyogart,0.0,12.0,,,,,
,-1.0,,4000.0,500.0,stim,single-stim-button,16,70046,0.0-15.0,dietary_decision,True,0,,-1,4000.0,taste_rating,brocollincauliflower,,13.0,,,,,
,1801.0,,1801.0,500.0,stim,single-stim-button,17,72362,0.0-16.0,dietary_decision,True,0,,Bad,1801.0,taste_rating,cookies,-1.0,14.0,,,,,
,1948.0,,1948.0,500.0,stim,single-stim-button,18,74811,0.0-17.0,dietary_decision,True,0,,Neutral,1948.0,taste_rating,RiceKrispyTreat,0.0,15.0,,,,,
,1540.0,,1540.0,500.0,stim,single-stim-button,19,76856,0.0-18.0,dietary_decision,True,0,,Very_Good,1540.0,taste_rating,KitKat,2.0,16.0,,,,,
,2326.0,,2326.0,500.0,stim,single-stim-button,20,79685,0.0-19.0,dietary_decision,True,0,,Good,2326.0,taste_rating,wwbrownie,1.0,17.0,,,,,
,2186.0,,2186.0,500.0,stim,single-stim-button,21,82371,0.0-20.0,dietary_decision,True,0,,Neutral,2186.0,taste_rating,cherryicecream,0.0,18.0,,,,,
,1500.0,,1500.0,500.0,stim,single-stim-button,22,84374,0.0-21.0,dietary_decision,True,0,,Good,1500.0,taste_rating,ChipsAhoy,1.0,19.0,,,,,
,1522.0,,1522.0,500.0,stim,single-stim-button,23,86396,0.0-22.0,dietary_decision,True,0,,Bad,1522.0,taste_rating,orange,-1.0,20.0,,,,,
,1308.0,,1308.0,500.0,stim,single-stim-button,24,88211,0.0-23.0,dietary_decision,True,0,,Neutral,1308.0,taste_rating,laysclassic,0.0,21.0,,,,,
,1666.0,,1666.0,500.0,stim,single-stim-button,25,90377,0.0-24.0,dietary_decision,True,0,,Good,1666.0,taste_rating,orangejello,1.0,22.0,,,,,
,1952.0,,1952.0,500.0,stim,single-stim-button,26,92841,0.0-25.0,dietary_decision,True,0,,Good,1952.0,taste_rating,MrsFields,1.0,23.0,,,,,
,2334.0,,2334.0,500.0,stim,single-stim-button,27,95676,0.0-26.0,dietary_decision,True,0,,Neutral,2334.0,taste_rating,slimfastV,0.0,24.0,,,,,
