text,rt,key_press,block_duration,timing_post_trial,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,exp_id,full_screen,focus_shifts,view_history,mouse_click,stim_duration,exp_stage,stim,coded_response,trial_num,reference,stim_rating,reference_rating,responses,credit_var
"<div class = centerbox><p class = ""center-block-text"">Welcome to the experiment. This task will take around 15 minutes. Press <strong>enter</strong> to begin.</p></div>",6412.0,13.0,6412.0,0.0,instruction,poldrack-text,0,6414,0.0-0.0-0.0,dietary_decision,True,0,,,,,,,,,,,,
,14782.0,,,,instruction,poldrack-instructions,1,21196,0.0-0.0-1.0,dietary_decision,True,0,"[{""page_index"":0,""viewing_time"":14781}]",,,,,,,,,,,
"<div class = centerbox><p class = ""center-block-text"">In the next block of trials, rate the healthiness of each food item without regard for its taste. Press <strong>enter</strong> to begin.</p></div>",6441.0,13.0,6441.0,500.0,start_health,poldrack-text,2,28639,0.0-1.0,dietary_decision,True,0,,,,,,,,,,,,
,-1.0,,4000.0,500.0,stim,single-stim-button,3,33163,0.0-2.0,dietary_decision,True,0,,-1,4000.0,health_rating,wwbrownie,,0.0,,,,,
,-1.0,,4000.0,500.0,stim,single-stim-button,4,37690,0.0-3.0,dietary_decision,True,0,,-1,4000.0,health_rating,100Grand,,1.0,,,,,
,-1.0,,4000.0,500.0,stim,single-stim-button,5,42199,0.0-4.0,dietary_decision,True,0,,-1,4000.0,health_rating,slimfastV,,2.0,,,,,
,3791.0,,3791.0,500.0,stim,single-stim-button,6,46495,0.0-5.0,dietary_decision,True,0,,Unhealthy,3791.0,health_rating,FamousAmos,-1.0,3.0,,,,,
,-1.0,,4000.0,500.0,stim,single-stim-button,7,51020,0.0-6.0,dietary_decision,True,0,,-1,4000.0,health_rating,frozenyogart,,4.0,,,,,
,-1.0,,4000.0,500.0,stim,single-stim-button,8,55526,0.0-7.0,dietary_decision,True,0,,-1,4000.0,health_rating,Reeses,,5.0,,,,,
,3665.0,,3665.0,500.0,stim,single-stim-button,9,59701,0.0-8.0,dietary_decision,True,0,,Neutral,3665.0,health_rating,uToberlorone,0.0,6.0,,,,,
,3057.0,,3057.0,500.0,stim,single-stim-button,10,63270,0.0-9.0,dietary_decision,True,0,,Healthy,3057.0,health_rating,raisins,1.0,7.0,,,,,
,3546.0,,3546.0,500.0,stim,single-stim-button,11,67322,0.0-10.0,dietary_decision,True,0,,Healthy,3546.0,health_rating,slimfastC,1.0,8.0,,,,,
,3852.0,,3852.0,500.0,stim,single-stim-button,12,71688,0.0-11.0,dietary_decision,True,0,,Neutral,3852.0,health_rating,ruffles,0.0,9.0,,,,,
,3901.0,,3901.0,500.0,stim,single-stim-button,13,76103,0.0-12.0,dietary_decision,True,0,,Unhealthy,3901.0,health_rating,butterfinger,-1.0,10.0,,,,,
,1647.0,,1647.0,500.0,stim,single-stim-button,14,78261,0.0-13.0,dietary_decision,True,0,,Unhealthy,1647.0,health_rating,cherryicecream,-1.0,11.0,,,,,
,3916.0,,3916.0,500.0,stim,single-stim-button,15,82680,0.0-14.0,dietary_decision,True,0,,Unhealthy,3916.0,health_rating,cookiencream,-1.0,12.0,,,,,
,3725.0,,3725.0,500.0,stim,single-stim-button,16,86915,0.0-15.0,dietary_decision,True,0,,Healthy,3725.0,health_rating,orangejello,1.0,13.0,,,,,
,2924.0,,2924.0,500.0,stim,single-stim-button,17,90353,0.0-16.0,dietary_decision,True,0,,Unhealthy,2924.0,health_rating,icecreamsandwich,-1.0,14.0,,,,,
,2984.0,,2984.0,500.0,stim,single-stim-button,18,93852,0.0-17.0,dietary_decision,True,0,,Very_Healthy,2984.0,health_rating,grannysmith,2.0,15.0,,,,,
,-1.0,,4000.0,500.0,stim,single-stim-button,19,98358,0.0-18.0,dietary_decision,True,0,,-1,4000.0,health_rating,cellery,,16.0,,,,,
